PLAYER,TEAM_GENERAL - DEFENSE,AGE_GENERAL - DEFENSE,W_GENERAL - DEFENSE,L_GENERAL - DEFENSE,MIN_GENERAL - DEFENSE,DEF RTG_GENERAL - DEFENSE,DREB_GENERAL - DEFENSE,DREB%_GENERAL - DEFENSE,%DREB_GENERAL - DEFENSE,STL_GENERAL - DEFENSE,STL%_GENERAL - DEFENSE,BLK_GENERAL - DEFENSE,%BLK_GENERAL - DEFENSE,OPP PTS OFF TOV_GENERAL - DEFENSE,OPP PTS 2ND CHANCE_GENERAL - DEFENSE,OPP PTS FB_GENERAL - DEFENSE,OPP PTS PAINT_GENERAL - DEFENSE,DEF WS_GENERAL - DEFENSE,TEAM_DEFENSE DASHBOARD,AGE_DEFENSE DASHBOARD,POSITION_DEFENSE DASHBOARD,G_DEFENSE DASHBOARD,FREQ%_DEFENSE DASHBOARD,DFGM_DEFENSE DASHBOARD,DFGA_DEFENSE DASHBOARD,DFG%_DEFENSE DASHBOARD,FG%_DEFENSE DASHBOARD,DIFF%_DEFENSE DASHBOARD,TEAM_HUSTLE,AGE_HUSTLE,MIN_HUSTLE,SCREEN ASSISTS_HUSTLE,SCREEN ASSISTS PTS_HUSTLE,DEFLECTIONS_HUSTLE,OFF LOOSE BALLS RECOVERED_HUSTLE,DEF LOOSE BALLS RECOVERED_HUSTLE,LOOSE BALLS RECOVERED_HUSTLE,% LOOSE BALLS RECOVERED_HUSTLE,% LOOSE BALLS RECOVERED.1_HUSTLE,CHARGES DRAWN_HUSTLE,CONTESTED 2PT SHOTS_HUSTLE,CONTESTED 3 PT SHOTS_HUSTLE,CONTESTED SHOTS_HUSTLE,TEAM_BOX OUTS,AGE_BOX OUTS,MIN_BOX OUTS,BOX OUTS_BOX OUTS,OFF BOX OUTS_BOX OUTS,DEF BOX OUTS_BOX OUTS,TEAM REB ON BOX OUTS_BOX OUTS,PLAYER REB ON BOX OUTS_BOX OUTS,% BOX OUTS OFF_BOX OUTS,% BOX OUTS DEF_BOX OUTS,% TEAM REB WHEN BOX OUT_BOX OUTS,% PLAYER REB WHEN BOX OUT_BOX OUTS,GP,SCORE,avg_scoring_probability,possessions,DEF WS_GENERAL - DEFENSE_WEIGHTED,MIN_GENERAL - DEFENSE_WEIGHTED,MIN_BOX OUTS_WEIGHTED,% TEAM REB WHEN BOX OUT_BOX OUTS_WEIGHTED,BLK_GENERAL - DEFENSE_WEIGHTED,MIN_HUSTLE_WEIGHTED,OPP PTS 2ND CHANCE_GENERAL - DEFENSE_WEIGHTED,DFGM_DEFENSE DASHBOARD_WEIGHTED,DEF RTG_GENERAL - DEFENSE_WEIGHTED,STL%_GENERAL - DEFENSE_WEIGHTED,CONTESTED 3 PT SHOTS_HUSTLE_WEIGHTED,%BLK_GENERAL - DEFENSE_WEIGHTED,DFG%_DEFENSE DASHBOARD_WEIGHTED,% BOX OUTS OFF_BOX OUTS_WEIGHTED,DFGA_DEFENSE DASHBOARD_WEIGHTED,% PLAYER REB WHEN BOX OUT_BOX OUTS_WEIGHTED,CONTESTED SHOTS_HUSTLE_WEIGHTED,DEFLECTIONS_HUSTLE_WEIGHTED,OPP PTS FB_GENERAL - DEFENSE_WEIGHTED,% BOX OUTS DEF_BOX OUTS_WEIGHTED,W_GENERAL - DEFENSE_WEIGHTED,DREB%_GENERAL - DEFENSE_WEIGHTED,% LOOSE BALLS RECOVERED.1_HUSTLE_WEIGHTED,CHARGES DRAWN_HUSTLE_WEIGHTED,%DREB_GENERAL - DEFENSE_WEIGHTED,OPP PTS OFF TOV_GENERAL - DEFENSE_WEIGHTED,DIFF%_DEFENSE DASHBOARD_WEIGHTED,avg_scoring_probability_WEIGHTED,L_GENERAL - DEFENSE_WEIGHTED,GP_WEIGHTED,FG%_DEFENSE DASHBOARD_WEIGHTED,G_DEFENSE DASHBOARD_WEIGHTED,DREB_GENERAL - DEFENSE_WEIGHTED,possessions_WEIGHTED,PLAYER REB ON BOX OUTS_BOX OUTS_WEIGHTED,TEAM REB ON BOX OUTS_BOX OUTS_WEIGHTED,CONTESTED 2PT SHOTS_HUSTLE_WEIGHTED,% LOOSE BALLS RECOVERED_HUSTLE_WEIGHTED,SCREEN ASSISTS PTS_HUSTLE_WEIGHTED,DEF LOOSE BALLS RECOVERED_HUSTLE_WEIGHTED,AGE_HUSTLE_WEIGHTED,OFF LOOSE BALLS RECOVERED_HUSTLE_WEIGHTED,STL_GENERAL - DEFENSE_WEIGHTED,OPP PTS PAINT_GENERAL - DEFENSE_WEIGHTED,LOOSE BALLS RECOVERED_HUSTLE_WEIGHTED,DEF BOX OUTS_BOX OUTS_WEIGHTED,BOX OUTS_BOX OUTS_WEIGHTED,AGE_BOX OUTS_WEIGHTED,SCREEN ASSISTS_HUSTLE_WEIGHTED,AGE_GENERAL - DEFENSE_WEIGHTED,AGE_DEFENSE DASHBOARD_WEIGHTED,OFF BOX OUTS_BOX OUTS_WEIGHTED,FREQ%_DEFENSE DASHBOARD_WEIGHTED,IMPACT SCORE
RUDY GOBERT,MIN,32,53,23,34.1,106.6,9.2,25.6,36.8,0.7,13.2,2.1,50.0,12.1,8.7,9.3,30.9,0.164,MIN,32.0,C,76.0,100.0,8.2,18.9,43.5,49.5,-6.0,MIN,32.0,34.1,4.8,11.4,1.6,0.2,0.2,0.4,60.0,40.0,0.01,9.3,1.7,11.0,MIN,32.0,34.1,2.8,0.9,1.9,2.8,1.9,33.0,67.0,99.5,68.4,76,561.0,0.4831466676188717,498.0,0.05498377657640505,1.43467523553434,1.4019590200318166,3.2089087568343637,0.06575545446632403,1.0592895837821583,0.22036447972026413,0.19398352594099794,2.483634836180076,0.294275174446718,0.0374396038169609,1.0499892115320195,0.7492077365003686,0.5670300733306324,0.3225688658535031,1.1330847462482898,0.1590997566775119,0.022191209369656587,0.12492402764669232,0.8884265607772774,0.6839365329651662,0.32851082469486953,0.5098201912461721,0.00012668734043386708,0.42762606110927315,0.1308132410418289,-0.06207434106997274,0.00499279153737439,0.23718625661509307,0.6627115188870375,0.4175063612081378,0.61452401184956,0.06964349039070969,3.521143473925161,0.012482352098779763,0.018255104592833638,0.05980444815762549,0.37486962177940714,0.07017201598713868,0.0011026110043777417,0.17616191509500947,0.0010118523839371873,0.003334599169629355,0.12986696010013798,0.0016007023528430417,0.0072395101354801065,0.01044757258571084,0.11561225373778881,0.014688279213174824,0.09772421142855592,0.09022325671804744,0.0006688242088000582,0.0,24.203524827756503
BROOK LOPEZ,MIL,36,48,31,30.5,111.9,3.7,11.0,15.7,0.5,14.7,2.4,65.9,9.8,8.7,9.6,32.8,0.104,MIL,36.0,C,79.0,100.0,10.6,22.2,47.7,49.8,-2.2,MIL,36.0,30.5,3.1,7.1,1.4,0.2,0.3,0.5,42.5,57.5,0.0,14.0,1.6,15.6,MIL,36.0,30.5,2.0,0.4,1.6,1.9,1.0,21.2,78.8,97.4,48.7,79,541.0,0.5419522248414713,536.0,0.03486776075576905,1.2832139203459638,1.25395161615749,3.1411830443785633,0.07514909081865602,0.9474584253770038,0.22036447972026413,0.2507591920700705,2.6071176188419374,0.32771553517929963,0.03523727418066908,1.3838857807992018,0.821545035196956,0.3642738652911941,0.3788904138596703,0.8067430868756098,0.22563238219719867,0.01941730819844951,0.128953834990134,1.0448957162574546,0.6194142185344901,0.14115699498607673,0.7328665249163723,0.0,0.18243829237542358,0.10594791423222508,-0.022760591725656674,0.005600482551572151,0.3196858241333863,0.6888711841062627,0.4200367027912174,0.6387815386330952,0.028008795048437597,3.789825104465635,0.00656965899935777,0.012387392402279969,0.09002820152760826,0.2655326487604134,0.043703623991989876,0.0016539165065666127,0.19818215448188567,0.0010118523839371873,0.0023818565497352538,0.1378523071613115,0.002000877941053802,0.006096429587772722,0.007462551846936314,0.1300637854550124,0.009486180325175408,0.10993973785712541,0.10150116380780337,0.000297255203911137,0.0,24.127279961329968
ANTHONY DAVIS,LAL,31,45,31,35.5,114.0,9.5,25.2,36.6,1.2,21.9,2.3,52.5,12.0,10.6,11.6,36.4,0.099,LAL,31.0,F-C,76.0,100.0,8.9,18.9,47.2,49.5,-2.3,LAL,31.0,35.5,4.1,9.1,2.5,0.6,0.4,1.0,61.8,38.2,0.01,7.8,3.4,11.2,LAL,31.0,35.5,2.5,0.6,1.8,2.5,1.7,25.9,74.1,98.4,68.8,76,557.0,0.3327129737059422,365.0,0.03319142610404938,1.4935768581075974,1.4595174548718326,3.1734333836432302,0.07201787870121201,1.1027794787174963,0.2684900557511264,0.21054309522864412,2.65604475914192,0.4882292666956913,0.0748792076339218,1.1024886721086204,0.8129334520187909,0.44503269391707206,0.3225688658535031,1.139710972834537,0.16199247952619392,0.034673764640088416,0.15581921727974524,0.9825732560238246,0.5807008298760845,0.3233778430590121,0.4868782826400943,0.00012668734043386708,0.42530200642933147,0.12973213987619395,-0.023795164076822882,0.0034382241063165126,0.3196858241333863,0.6627115188870375,0.4175063612081378,0.61452401184956,0.07191447377301545,2.5807577670335013,0.011168420298908209,0.01629920052931575,0.0501585694225246,0.38611571043278936,0.056014503989733504,0.0022052220087554835,0.17065685524829044,0.003035557151811562,0.005716455719364609,0.152982438435114,0.004001755882107604,0.006858483286244312,0.009328189808670392,0.11199937080848292,0.012546238494586828,0.09467032982141355,0.08740377994560845,0.00044588280586670544,0.0,23.964964009023966
JARRETT ALLEN,CLE,26,46,31,31.7,110.7,7.4,23.1,33.6,0.7,13.5,1.1,36.3,11.5,8.3,9.4,31.0,0.119,CLE,26.0,C,76.0,100.0,8.2,16.8,48.8,50.0,-1.2,CLE,26.0,31.7,4.0,9.7,1.6,0.5,0.2,0.7,66.7,33.3,0.0,7.6,2.0,9.6,CLE,26.0,31.7,2.0,0.3,1.7,1.9,1.1,13.5,86.5,97.4,57.9,77,548.0,0.4621241012784481,545.0,0.03989676471092805,1.333701025408756,1.3032874174489322,3.1411830443785633,0.03444333329188402,0.984735478178722,0.2102327795032405,0.19398352594099794,2.579159252956233,0.30096324659323437,0.04404659272583635,0.762292167572246,0.8404905181889193,0.23196684818071325,0.28672788075866945,0.9591462983592978,0.13885069673673764,0.022191209369656587,0.12626729676117288,1.1469984702572313,0.5936052927622197,0.29642968947076115,0.42442530921243815,0.0,0.39044118623020596,0.1243266340480192,-0.012414868213994549,0.004775546343827579,0.3196858241333863,0.6714314072934459,0.4217235971799372,0.61452401184956,0.056017590096875194,3.8534602274883785,0.007226624899293548,0.012387392402279969,0.04887245225784448,0.41673006287810765,0.05970776798905659,0.0011026110043777417,0.1431315560146952,0.0025296309598429683,0.003334599169629355,0.13028724152441026,0.0028012291174753226,0.0064774564370085165,0.007462551846936314,0.09393495616195341,0.012240232677645686,0.07940092178570168,0.07330639608341355,0.00022294140293335272,0.0,23.54015191982964
GIANNIS ANTETOKOUNMPO,MIL,29,45,28,35.2,113.2,8.8,23.7,34.3,1.2,23.9,1.1,28.5,10.6,9.5,8.9,37.0,0.107,MIL,29.0,F,73.0,100.0,5.8,12.5,46.2,48.4,-2.1,MIL,29.0,35.2,2.0,5.0,2.2,0.5,0.3,0.8,59.7,40.3,0.01,3.6,2.9,6.5,MIL,29.0,35.2,1.0,0.5,0.5,0.9,0.7,47.1,52.9,94.3,71.4,73,546.0,0.1987790488401303,459.0,0.035873561546800846,1.4809550818418995,1.447183504548972,3.041206992658095,0.03444333329188402,1.0934602155170667,0.2406278801543114,0.13720785981192538,2.6374058485514507,0.5328164143391334,0.06386755945246271,0.5984938505732511,0.7957102856624606,0.8093065592082662,0.21333919699305762,1.1827814456451446,0.09401349258216611,0.030512912883277808,0.11955095118877006,0.7014591800763876,0.5807008298760845,0.30412916192454714,0.5136438426805183,0.00012668734043386708,0.39857537761000184,0.11459672355730466,-0.02172601937449046,0.0020541637133658823,0.28874848631402633,0.6365518536678123,0.40822844207017916,0.5902664850660246,0.06661551254763537,3.245391274159937,0.004598761299550439,0.00586771219055367,0.023150108964242123,0.3729952736705101,0.03077719999435907,0.0016539165065666127,0.15964673555485234,0.0025296309598429683,0.005716455719364609,0.15550412698074775,0.0032014047056860835,0.0019051342461789756,0.003731275923468157,0.10477360494987112,0.006120116338822843,0.0885625666071288,0.08176482640073049,0.0003715690048889212,0.0,23.470989367697527
NIC CLAXTON,BKN,25,27,44,29.8,114.1,7.2,23.9,35.9,0.6,16.0,2.1,57.5,9.3,8.5,10.6,29.8,0.083,BKN,25.0,C,69.0,100.0,8.0,17.2,46.7,48.7,-2.0,BKN,25.0,29.8,3.5,7.7,1.6,0.3,0.3,0.6,53.7,46.3,0.0,8.3,2.6,10.9,BKN,25.0,29.8,2.3,0.7,1.6,2.2,1.3,31.5,68.5,98.1,57.9,71,540.0,0.5606810476112003,469.0,0.027827155218546454,1.2537631090593353,1.225172398737482,3.1637582818638297,0.06575545446632403,0.9257134779093349,0.2152986296117523,0.1892522204302419,2.6583746229657286,0.356697181147537,0.05726057054358726,1.2074875932618223,0.8043218688406257,0.5412559790883309,0.2935547350624473,0.9591462983592978,0.15765339525317087,0.022191209369656587,0.1423865261349396,0.9083167076603508,0.34842049792565066,0.3066956527424758,0.5901168713674441,0.0,0.4171678150495355,0.10054240840405032,-0.020691447023324247,0.005794024418042091,0.4537476213506128,0.6191120768549956,0.4107587836532588,0.557923116021311,0.05450360117533803,3.3160969664074305,0.008540556699165102,0.01434329646579786,0.0533738623342249,0.33550831149256943,0.04739688799131297,0.0016539165065666127,0.13762649616797615,0.001517778575905781,0.0028582278596823046,0.12524386443314278,0.0024010535292645625,0.006096429587772722,0.00858193462397676,0.09032207323264752,0.010710203592939976,0.07634704017855931,0.07048691931097456,0.0005201966068444897,0.0,23.328904452520487
BAM ADEBAYO,MIA,26,40,31,34.0,109.3,8.1,24.2,34.9,1.1,20.0,0.9,37.3,10.5,9.5,9.4,31.9,0.14,MIA,26.0,C-F,71.0,100.0,6.2,14.0,44.1,49.1,-5.0,MIA,26.0,34.0,3.4,8.1,2.2,0.5,0.4,0.9,52.4,47.6,0.03,4.5,2.3,6.7,MIA,26.0,34.0,3.1,0.3,2.8,2.9,1.4,10.0,90.0,97.6,48.8,71,559.0,0.3969640036356708,517.0,0.04693737024815065,1.4304679767791073,1.3978477032575298,3.1476331122314964,0.02818090905699601,1.0561831627153484,0.2406278801543114,0.14667047083343748,2.5465411594229113,0.44587147643442127,0.0506535816347118,0.7832919518028865,0.7595416363141668,0.1718272949486765,0.23893990063222453,0.8083996435221715,0.09690621543084815,0.030512912883277808,0.12626729676117288,1.1934088129844025,0.5161785154454084,0.3105453889693688,0.6066860275829448,0.0003800620213016012,0.405547541649827,0.11351562239166971,-0.05172861755831062,0.004102188115592869,0.3196858241333863,0.6191120768549956,0.4141325724306983,0.5740948005436678,0.061316551322255275,3.655484289195398,0.009197522599100878,0.01890707261400627,0.028937636205302653,0.3273861363540156,0.049859063990861686,0.0022052220087554835,0.1431315560146952,0.0025296309598429683,0.005240084409417559,0.13406977434286088,0.0036015802938968436,0.010668751778602263,0.011566955362751288,0.09393495616195341,0.010404197775998833,0.07940092178570168,0.07330639608341355,0.00022294140293335272,0.0,23.300333711290566
SHAI GILGEOUSALEXANDER,OKC,25,55,20,34.0,109.7,4.7,12.8,19.7,2.0,32.8,0.9,19.0,9.6,10.7,8.4,32.5,0.138,OKC,25.0,G,75.0,100.0,6.3,13.9,45.1,46.5,-1.4,OKC,25.0,34.0,0.5,1.2,3.5,0.4,0.6,0.9,38.6,61.4,0.0,2.8,3.3,6.0,OKC,25.0,34.0,0.3,0.0,0.3,0.3,0.1,8.0,92.0,100.0,44.0,75,547.0,0.1668624540487601,535.0,0.04626683638746278,1.4304679767791073,1.3978477032575298,3.225033926466697,0.02818090905699601,1.0561831627153484,0.2710229808053823,0.1490361235888155,2.555860614718146,0.7312292213524508,0.07267687799762998,0.39899590038216737,0.7767648026704972,0.13746183595894118,0.23723318705628008,0.7288849244872039,0.08678168546046103,0.04854327049612378,0.11283460561636725,1.2199290088285004,0.7097454587374366,0.16425541234743476,0.782573993562874,0.0,0.22891938597425762,0.10378571190095516,-0.014484012916326972,0.0017243406698550748,0.2062489187957331,0.6539916304806291,0.39220294537734157,0.6064381695883815,0.03557873965612343,3.7827545352408856,0.0006569658999357771,0.00195590406351789,0.01800564030552165,0.24116612334475193,0.0073865279986461765,0.0033078330131332255,0.13762649616797615,0.0020237047678743746,0.009527426198941015,0.13659146288849464,0.0036015802938968436,0.0011430805477073854,0.001119382777040447,0.09032207323264752,0.0015300290847057108,0.07634704017855931,0.07048691931097456,0.0,0.0,23.16776897357201
IVICA ZUBAC,LAC,27,42,26,26.4,112.4,6.3,23.5,33.6,0.3,7.7,1.2,47.4,8.2,7.1,7.4,24.9,0.084,LAC,27.0,C,68.0,100.0,7.7,16.8,45.8,49.7,-3.9,LAC,27.0,26.4,3.2,7.5,0.6,0.3,0.2,0.5,66.7,33.3,0.0,7.7,2.1,9.8,LAC,27.0,26.4,2.0,0.6,1.4,1.9,1.1,30.4,68.9,98.5,56.7,68,489.0,0.3955066741847143,580.0,0.02816242214889039,1.1107163113814245,1.085387628411729,3.176658417569697,0.03757454540932801,0.8200951616377999,0.17983767885216959,0.18215526216410782,2.6187669379609813,0.1716605184272522,0.04624892236212817,0.9953897725323544,0.7888210191199283,0.5223549766439765,0.28672788075866945,0.939267618600556,0.1417434195854197,0.00832170351362122,0.09940191447156162,0.9136207468291704,0.5419874412176788,0.3015626711066185,0.42442530921243815,0.0,0.39044118623020596,0.08865029558206586,-0.04034832169548228,0.004087128212177284,0.268123594434453,0.5929524116357704,0.41919325559685755,0.5498372737601326,0.04769065102842077,4.100930150354605,0.007226624899293548,0.012387392402279969,0.049515510840184546,0.41673006287810765,0.0461657999915386,0.0011026110043777417,0.14863661586141425,0.001517778575905781,0.0014291139298411523,0.10465007464380051,0.002000877941053802,0.005334375889301132,0.007462551846936314,0.09754783909125932,0.009792186142116549,0.08245480339284406,0.07612587285585252,0.00044588280586670544,0.0,22.91297188004868
VICTOR WEMBANYAMA,SAS,20,19,52,29.7,111.2,8.4,27.3,38.9,1.2,27.4,3.6,70.8,11.7,8.0,8.6,32.4,0.107,SAS,20.0,F-C,71.0,100.0,7.7,16.7,46.2,50.4,-4.2,SAS,20.0,29.7,1.9,4.2,2.9,0.2,0.3,0.5,45.9,54.1,0.15,7.2,1.9,9.1,SAS,20.0,29.7,0.9,0.3,0.6,0.8,0.5,32.8,67.2,100.0,57.6,71,560.0,0.2938953788135913,334.0,0.035873561546800846,1.2495558503041024,1.221061081963195,3.225033926466697,0.11272363622798404,0.922607056842525,0.20263400434047277,0.18215526216410782,2.5908085720752765,0.6108439227151571,0.04184426308954453,1.4867847235293394,0.7957102856624606,0.5635935274316588,0.28502116718272497,0.9541766284196124,0.13161888961503257,0.04022156698250256,0.11552114384532837,0.8910785803616872,0.245184794836569,0.35032599664726316,0.6895318086604477,0.0019003101065080059,0.452028635248661,0.1264888363792891,-0.04345203874898092,0.003037086786597603,0.536247188868906,0.6191120768549956,0.42509738595737667,0.5740948005436678,0.06358753470456104,2.3615701210662725,0.003284829499678885,0.00521574416938104,0.046300217928484245,0.2867752606612465,0.025852847995261618,0.0016539165065666127,0.11010119693438092,0.0010118523839371873,0.005716455719364609,0.13617118146422236,0.002000877941053802,0.002286161095414771,0.0033581483311213413,0.072257658586118,0.005814110521881701,0.06107763214284745,0.05638953544877965,0.00022294140293335272,0.0,22.88911275741102
ANTHONY EDWARDS,MIN,22,54,25,35.1,108.5,4.8,13.1,19.1,1.3,22.4,0.5,11.5,12.0,9.1,9.7,33.7,0.152,MIN,22.0,G,79.0,100.0,4.9,10.9,44.4,46.9,-2.4,MIN,22.0,35.5,0.2,0.5,2.0,0.4,0.5,0.9,44.4,55.6,0.0,1.8,1.3,3.0,MIN,22.0,35.5,0.2,0.0,0.2,0.2,0.1,17.6,82.4,88.2,64.7,79,514.0,0.2236407403578154,542.0,0.05096057341227784,1.4767478230866666,1.4595174548718326,2.844479923143627,0.015656060587220005,1.1027794787174963,0.23049617993728777,0.11591698501352317,2.5279022488324414,0.4993760536065518,0.02863028527179363,0.24149751865236446,0.764708586221066,0.30241603910967063,0.18603177977794624,1.0717921503255021,0.043390842730230514,0.027739011712070733,0.13029710410461454,1.0926320687768307,0.6968409958513013,0.16810514857432773,0.7086500658321792,0.0,0.22194722193443256,0.12973213987619395,-0.024829736427989097,0.002311082059974928,0.25781114849466635,0.6888711841062627,0.39557673415478106,0.6387815386330952,0.03633573411689202,3.8322485198141307,0.0006569658999357771,0.00130393604234526,0.011575054482121061,0.2774035201167613,0.003077719999435907,0.0027565275109443545,0.12111131662781902,0.0020237047678743746,0.00619282702931166,0.14163483997976214,0.0036015802938968436,0.0007620536984715903,0.0007462551846936314,0.0794834244447298,0.0006120116338822843,0.0671853953571322,0.062028488993657614,0.0,0.0,22.747505566974038
MIKAL BRIDGES,BKN,27,32,50,34.8,114.3,3.7,10.5,15.6,1.0,20.9,0.4,9.3,10.7,10.1,11.4,35.4,0.093,BKN,27.0,G-F,80.0,100.0,5.4,11.6,46.5,47.0,-0.5,BKN,27.0,34.8,0.2,0.4,1.5,0.3,0.3,0.6,54.0,46.0,0.01,2.1,2.0,4.1,BKN,27.0,34.8,0.5,0.0,0.5,0.5,0.1,2.6,97.4,97.4,21.1,82,542.0,0.3280981983143878,558.0,0.031179824521985786,1.4641260468209685,1.4307382374518245,3.1411830443785633,0.012524848469776004,1.081034531249827,0.25582543047984685,0.1277452487904133,2.663034350613346,0.4659356928739702,0.04404659272583635,0.19529799334495562,0.8008772355693596,0.04467509668665588,0.19797877480955745,0.34953345242454553,0.0593008183979817,0.02080425878405305,0.15313267905078412,1.2915335376075645,0.41294281235632674,0.13474076794125506,0.5862932199330978,0.00012668734043386708,0.18127626503545274,0.1156778247229396,-0.005172861755831062,0.0033905354579907582,0.5156222969893327,0.7150308493254878,0.3964201813491409,0.6468673808942736,0.028008795048437597,3.94537762741012,0.0006569658999357771,0.00325984010586315,0.01350423022914124,0.3373826596014664,0.0024621759995487255,0.0016539165065666127,0.14863661586141425,0.001517778575905781,0.0047637130994705075,0.14877962419239107,0.0024010535292645625,0.0019051342461789756,0.0018656379617340785,0.09754783909125932,0.0006120116338822843,0.08245480339284406,0.07612587285585252,0.0,0.0,22.432639949882994
AUSTIN REAVES,LAL,26,47,35,32.1,115.6,3.6,10.7,15.7,0.8,17.5,0.3,8.2,11.1,9.4,10.9,34.0,0.074,LAL,26.0,G,82.0,100.0,7.2,14.5,49.4,46.8,2.7,LAL,26.0,32.1,0.3,0.6,1.3,0.5,0.5,1.0,47.5,52.5,0.1,3.0,2.2,5.2,LAL,26.0,32.1,0.6,0.0,0.6,0.6,0.2,4.0,96.0,98.0,26.0,82,498.0,0.3318483997373827,522.0,0.024809752845451054,1.3505300604296866,1.3197326845460797,3.160533247937363,0.009393636352332002,0.9971611624459614,0.23809495510005552,0.1703269983872177,2.6933225803228593,0.3901375418801186,0.04845125199841999,0.17219823069125118,0.8508244180027175,0.06873091797947059,0.24747346851194682,0.430704728106075,0.0752107940657329,0.018030357612845976,0.14641633347838132,1.272969400516696,0.6065097556483549,0.13730725875918373,0.6691390010106008,0.0012668734043386708,0.18243829237542358,0.1200022293854794,0.027933453481487736,0.0034292896814659135,0.36093560789253293,0.7150308493254878,0.39473328696042115,0.6630390654166305,0.027251800587669014,3.6908371353191445,0.0013139317998715541,0.00391180812703578,0.01929175747020177,0.29677178390869735,0.0036932639993230883,0.0027565275109443545,0.1431315560146952,0.0025296309598429683,0.0038109704795764063,0.142895684252579,0.004001755882107604,0.002286161095414771,0.002238765554080894,0.09393495616195341,0.0009180174508234265,0.07940092178570168,0.07330639608341355,0.0,0.0,22.161100308995145
